CloudProvider,resource_type,ViolationCount
AWS,lc,4
AWS,lcdui_elasticache,4
AWS,lcdui_rds,4
AWS,linux_notes_vpc,4
AWS,logs,4
AWS,manage_intelligence_csv_bucket,4
AWS,manage_intelligence_elasticache_redis,4
AWS,manage_intelligence_extractor_bucket,4
AWS,manage_intelligence_logging_bucket,4
AWS,manage_intelligence_rds_to_s3_bucket,4
AWS,manage_intelligence_storage_bucket,4
AWS,manage_intelligence_transformer_bucket,4
AWS,mercury_submit_dead_letter_queue,4
AWS,mercury_submit_elasticache_redis,4
AWS,mercury_submit_queue,4
AWS,merge_rds,4
AWS,metadata_status_dead_letter_queue,4
AWS,metadata_status_queue,4
AWS,nomis-user-roles-api,4
AWS,opa_hub_db,4
AWS,pac_elasticache_redis,4
AWS,pic_new_offender_events_dead_letter_queue,4
AWS,pic_new_offender_events_queue,4
AWS,pre-sentence-service,4
AWS,pre_sentence_service_rds,4
AWS,prod,4
AWS,prosecution_concluded_queue,4
AWS,random_glue_connection_password,4
AWS,rds-instance-migrated,4
AWS,rds_aurora_legacy,4
AWS,rds_mysql,4
AWS,read_replica[0],4
AWS,report_id_dynamodb,4
AWS,responses_for_cccd,4
AWS,route53_lambda_staging_firehose,4
AWS,routing,4
AWS,runner-irsa,4
AWS,"s3_buckets[""laa-sds-internal""]",4
AWS,s3_data_bucket,4
AWS,s3_private_glue_catalog,4
AWS,s3_private_glue_crawler,4
AWS,s3_private_glue_jobs,4
AWS,security,4
AWS,service-metadata-irsa,4
AWS,service-metadata-s3-bucket,4
AWS,service-token-cache-elasticache,4
AWS,serviceaccount_tiller,4
AWS,sg_https_web,4
AWS,shared-service-account,4
AWS,staging,4
AWS,store_write,4
AWS,submitter-rds-instance-2,4
AWS,testing,4
AWS,tgw_hub,4
AWS,track_a_query_elasticache_redis,4
AWS,track_a_query_rds,4
AWS,track_a_query_s3,4
AWS,truststore_s3_bucket,4
AWS,update_application_status_queue_m,4
AWS,update_application_status_queue_m_dead_letter_queue,4
AWS,user-datastore-rds-instance-2,4
AWS,user-filestore-irsa,4
AWS,user-filestore-s3-bucket,4
AWS,vault_cluster,4
AWS,vault_elb,4
AWS,vcn,4
AWS,visit_allocation_rds,4
AWS,vpc_linux_notes_prod_peering_to_vault,4
AWS,vpc_peering,4
AWS,vpc_peering_to_linux_notes_prod,4
AWS,accommodation_data_domain_rds,3
AWS,accredited-programmes-and-delius-dlq,3
AWS,accredited-programmes-and-delius-queue,3
AWS,accredited-programmes-and-delius-service-account,3
AWS,activities_domain_events_dead_letter_queue,3
AWS,activities_domain_events_queue,3
AWS,activities_rds_read_replica,3
AWS,adjustments_rds,3
AWS,allocation-rds,3
AWS,allocation-rds-read-replica,3
AWS,analytical_platform_s3_bucket,3
AWS,apply-for-legal-aid-rds,3
AWS,approved-premises-and-delius-dlq,3
AWS,approved-premises-and-delius-queue,3
AWS,approved-premises-and-delius-service-account,3
AWS,assessment-summary-and-delius-dlq,3
AWS,assessment-summary-and-delius-queue,3
AWS,assessment-summary-and-delius-service-account,3
AWS,aurora_postgres,3
AWS,authorized-keys,3
AWS,autoscale_group,3
AWS,aws_appflow_flow,3
AWS,aws_athena_database,3
AWS,aws_db_cluster_snapshot,3
AWS,aws_glacier_vault,3
AWS,aws_glue_crawler,3
AWS,aws_kinesis_video_stream,3
AWS,azurerm_virtual_machine_scale_set,3
AWS,backend_elasticache_redis,3
AWS,bankwizard_artifact_bucket,3
AWS,breach-notice-and-delius-dlq,3
AWS,breach-notice-and-delius-queue,3
AWS,breach-notice-and-delius-service-account,3
AWS,bulk_comparison_dead_letter_queue,3
AWS,bulk_comparison_queue,3
AWS,calculate-journey-variable-payments_s3_bucket,3
