RepoId,Name,CloneUrl,CloudProvider,TotalResources
797972301,chaos-engineering,https://github.com/GoogleCloudPlatform/chaos-engineering.git,GCP,207
296041737,cmarini-cloud-foundation-fabric,https://github.com/carlo1999go/cmarini-cloud-foundation-fabric.git,GCP,205
332576862,cloud-foundations,https://github.com/sthamma/cloud-foundations.git,GCP,205
313146670,tf-gke,https://github.com/bharathkkb/tf-gke.git,GCP,204
348885560,tf_modules,https://github.com/XasCode/tf_modules.git,GCP,202
832089959,gcp-platform,https://github.com/rokodios/gcp-platform.git,GCP,201
577805845,terraform-example-foundation,https://github.com/dasiyes/terraform-example-foundation.git,GCP,198
414313597,cluster-toolkit,https://github.com/GoogleCloudPlatform/cluster-toolkit.git,GCP,196
272886683,terraform-google-kubernetes-module,https://github.com/kusirajiv/terraform-google-kubernetes-module.git,GCP,192
225491284,terraform-example-foundation,https://github.com/terraform-google-modules/terraform-example-foundation.git,GCP,190
554681485,MY-GCP-LABS,https://github.com/AMARMUDIRAJ/MY-GCP-LABS.git,GCP,190
163673165,cloud,https://github.com/icuc-me/cloud.git,GCP,188
778844260,GKE,https://github.com/jeromelaw999/GKE.git,GCP,188
562480878,terraform-example-foundation,https://github.com/prasanna-veer/terraform-example-foundation.git,GCP,187
615704403,cloud-founda,https://github.com/rohitraikar565/cloud-founda.git,GCP,187
716495279,bootstrap-gcp,https://github.com/contourkde/bootstrap-gcp.git,GCP,187
